"NB_LAB","calc_biomasslandtype"
20,"cropland"
10,"cropland"
30,"cropland"
40,"cropland"
12,"cropland"
11,"cropland"
100,"forest"
61,"forest"
60,"forest"
62,"forest"
50,"forest"
160,"forest"
170,"forest"
90,"forest"
81,"forest"
80,"forest"
82,"forest"
71,"forest"
70,"forest"
72,"forest"
130,"pasture"
110,"pasture"
0,"other"
200,"other"
201,"other"
220,"other"
202,"other"
210,"other"
140,"otherland"
180,"otherland"
120,"otherland"
122,"otherland"
121,"otherland"
153,"otherland"
152,"otherland"
151,"otherland"
150,"otherland"
190,"urban"
